product_name,tagline,description,reviews_rating,reviews_count,featured_comment,topics,url
Kilo Code,The open-source agentic engineering platform,"Build, ship, and iterate faster with the most popular open-source AI coding agent. 3M+ Kilo Coders. 40T+ tokens processed.
Follow us: kilo.ai/social",4.96,45,"What stood out to me is the developer experience — it feels fast to get value without a bunch of setup friction.Clear, focused UX that stays out of the way while codingHelpful suggestions for refactors and “what’s the next step” momentsCustomization is there when you need it, but the defaults are sensibleOutput quality is consistently usable (less time fighting the assistant)Overall, it’s the kind of tool you can keep open all day and trust as a teammate.","Productivity, Artificial Intelligence, Business, Design Tools, Website Builder",https://www.producthunt.com/products/kilocode
StoreClaw,Grow your store profits with agents that know how to sell,"StoreClaw is the first AI commerce platform with agents that know how to sell, so you can make more money with less effort and less stress. Connect StoreClaw to your existing store and it will study your numbers, current sales figures, and growth trajectory, and then offer proactive suggestions that it can execute on your behalf — once you give it your approval. Ask StoreClaw how your business is doing any time, anywhere. Sell more with less stress: StoreClaw.",4.77,0,,"Artificial Intelligence, E-Commerce, Marketing automation, Design Tools, Website Builder",https://www.producthunt.com/products/storeclaw
PollyReach,Give your agent a real number and voice to make calls.,"Most AI phone tools are built for enterprises — APIs, workflows, sales automation. PollyReach is built for you. Give your AI a real phone number. Say ""book me a table for 7pm"" — it finds the number, makes the call, handles the conversation, and reports back with a summary, recording & transcript. It also answers your phone 24/7 and screens spam. Works in 50+ languages.",5,0,,"API, Artificial Intelligence, Audio, Productivity, Virtual Assistants, Design Tools, Website Builder",https://www.producthunt.com/products/pollyreach
Brew,Like Claude design for email marketing,"Brew is the fastest way to design and send beautiful, on-brand emails and automations that render perfectly in every inbox. Describe a campaign or a multi-step automation in plain English, and Brew builds the whole thing in seconds: copy, design, audience, and logic. Works with any AI agent: paste our docs into OpenClaw, Viktor, Claude, or Lovable. No lock-in: send from Brew or export to your ESP. Free to get started.",4.91,3,We looked at +10 competitors but no one has managed to build agentic workflows like Brew at this design level.,"Design Tools, Email Marketing, Artificial Intelligence, Website Builder",https://www.producthunt.com/products/brew-5
Unabyss,MCP-native self-updating context layer for your AI,"Set it up once and never re-explain yourself to AI again. Connect the apps you use daily - Unabyss will extract, structure, and update your context automatically. Share it with any AI tool via MCP, with granular control over what each tool can see.",4.78,0,,"API, Artificial Intelligence, Audio, Productivity, Design Tools, Website Builder",https://www.producthunt.com/products/unabyss
RankSpot,AI SEO Blog driven by deep competitor intelligence,"RankSpot is your fully automated AI agent that researches, writes, and publishes SEO articles to your blog daily - getting you cited in AI answers and ranked on Google.",5,2,"The competitor intelligence angle is what stands out. Most AI writing tools focus on generating text, but RankSpot focuses on the strategy layer, understanding what's already ranking and finding gaps. That's more useful than just producing more content.","API, Artificial Intelligence, Audio, Marketing, SEO, YC Application, Design Tools, Website Builder",https://www.producthunt.com/products/rankspot
OpenHuman,An open source AI harness built with the human in mind,"90% of people who try AI agents give up. Three reasons: memory that resets every session, your data sitting in someone else's cloud and a terminal just to get started. Real blockers. OpenHuman fixes all of it. Local-first, privacy-first. It remembers everything about you and actually gets smarter the more you use it. Every feature lives in one simple interface. Fully open source. One-click setup. P.S. The product is in beta, so expect bugs, but we're building and shipping fast.",0,0,,"API, Artificial Intelligence, Audio, Productivity, Open Source, Design Tools, Website Builder",https://www.producthunt.com/products/openhuman
Velo,Share anything as video messages,"Velo turns your raw screen recordings into watch-worthy, ready-to-share videos with AI. In seconds.",5,0,,"Sales, Artificial Intelligence, CRM, Design Tools, Website Builder",https://www.producthunt.com/products/velo-4
own.page,Make your own personal website with bento tiles,"own.page helps creators and founders build a beautiful link-in-bio that feels alive - more like a personal website than just a list of links. Build a page in under a minute, customize it your way, add powerful widgets and integrations, understand your visitors, and grow your audience from one place.",4.75,0,,"Productivity, Analytics, Developer Tools, Social Network, Social Media, Website Builder, Design Tools, Artificial Intelligence",https://www.producthunt.com/products/own-page
Framer,Design and ship your dream site with zero code,"A no-code platform to create responsive webpages with text, links, media, and incredible animations.",4.79,254,"I considered Webflow, WordPress, and simply hard-coding my landing pages from scratch using Next.js and Tailwind CSS. I chose Framer over custom coding because it dramatically reduces my time-to-market. I chose it over Webflow because Framer's interface feels much more like a modern design tool (similar to Figma), making the transition from design to a live, fast-performing site completely seamless without a steep learning curve.","Developer Tools, Artificial Intelligence, Security, Design Tools, Website Builder",https://www.producthunt.com/products/framer
